"Index"	"Study_ID"	"Study"	"Year"	"Species_Phylo"	"Class"	"Phylo_ID"	"Polyandry"	"MatingSystem"	"StudyType"	"MS_estimate"	"Zero_f"	"beta_ss"	"beta_ss_stand"	"r_f"	"r_VAR_f"	"N_f"
"1"	1	2	"Gerlach et al. 2012"	2012	"Junco_hyemalis"	"Aves"	35	0.439	"monogamous"	"Field"	"gMS"	0	0.246	0	0.303293040688427	0.00189537519569469	436
"2"	2	3	"Gopurenko et al 2007"	2007	"Ambystoma_texanum"	"Amphibia"	54	0.857142857142857	"polyandrous"	"Field"	"gMS"	1	18.342137974	0	0.817332234148515	0.00306118793481267	37
"3"	4	4	"Gopurenko et al. 2006"	2006	"Ambystoma_tigrinum"	"Amphibia"	52	0.466666666666667	"monogamous"	"Field"	"gMS"	0	0.0782843804	1	0.0652902151991017	0.0708208962261692	15
"4"	5	9	"Jones et al. 2002"	2002	"Taricha_granulosa"	"Amphibia"	58	0.547619047619048	"polyandrous"	"Field"	"gMS"	0	22.2	0	0.268509250695224	0.029689778392536	30
"5"	6	10	"Jones et al. 2004"	2004	"Taricha_granulosa"	"Amphibia"	59	0.547619047619048	"polyandrous"	"Lab"	"gMS"	1	21.7	0	0.455591889481971	0.125590972403951	6
"6"	7	10	"Jones et al. 2004"	2004	"Taricha_granulosa"	"Amphibia"	60	0.547619047619048	"polyandrous"	"Lab"	"gMS"	1	-18.7	0	-0.206066017028133	0.183375343378618	6
"7"	8	11	"Jones et al. 2000"	2000	"Syngnathus_typhle"	"Actinopterygii"	93	0.527777777777778	"polyandrous"	"Lab"	"gMS"	1	24.1	0	0.833724622168254	0.00152403269734194	62
"8"	9	11	"Jones et al. 2000"	2000	"Syngnathus_typhle"	"Actinopterygii"	94	0.527777777777778	"polyandrous"	"Lab"	"gMS"	1	14.5	0	0.588198744680699	0.0388859169246715	12
"9"	10	14	"Krakauer 2008"	2008	"Meleagris_gallopavo"	"Aves"	50	0.45	"monogamous"	"Field"	"gMS"	0	2.299	0	0.336297808159935	0.0280927972312807	29
"10"	11	16	"Jones et al. 2012"	2012	"Spermophilus_columbianus"	"Mammalia"	1	0.343434343434343	"monogamous"	"Field"	"gMS"	0	0.28	0	0.224595218974792	0.00920059666046876	99
"11"	12	17	"Levitan 2008"	2008	"Strongylocentrotus_franciscanus"	"Echinoidea"	100	0.99	"polyandrous"	"Field"	"gMS"	1	0.0066	0	0.0249918758053033	0.00564266216047994	178
"12"	13	17	"Levitan 2008"	2008	"Strongylocentrotus_purpuratus"	"Echinoidea"	99	0.99	"polyandrous"	"Field"	"gMS"	1	-0.04	0	-0.114707866935281	0.0198746396065351	50
"13"	14	19	"Mills et al. 2007"	2007	"Myodes_glareolus"	"Mammalia"	8	0.353	"monogamous"	"Field"	"gMS"	1	0.2	0	0.175204220674735	0.0854135671264262	12
"14"	15	19	"Mills et al. 2007"	2007	"Myodes_glareolus"	"Mammalia"	9	0.353	"monogamous"	"Field"	"gMS"	1	-0.25	0	-0.179840020211069	0.133765881032126	8
"15"	16	19	"Mills et al. 2007"	2007	"Myodes_glareolus"	"Mammalia"	10	0.353	"monogamous"	"Field"	"gMS"	1	1e-04	0	0.01	0.199960002	6
"16"	17	20	"Mobley & Jones 2013"	2013	"Syngnathus_floridae"	"Actinopterygii"	87	0.633333333333333	"polyandrous"	"Field"	"gMS"	1	0.93	1	0.896528908376985	0.000785888467403322	50
"17"	19	21	"Munroe & Koprowski 2011"	2011	"Xerospermophilus_tereticaudus"	"Mammalia"	3	0.935483870967742	"polyandrous"	"Field"	"gMS"	0	0.81	0	0.882889506920565	0.00162076494422045	31
"18"	21	22	"Moorad et al. 2011"	2011	"Homo_sapiens"	"Mammalia"	17	0.0124	"monogamous"	"Field"	"cMS"	1	0.7726	0	0.0109306498818536	4.57263563877414e-05	21865
"19"	22	22	"Moorad et al. 2011"	2011	"Homo_sapiens"	"Mammalia"	18	0.0124	"monogamous"	"Field"	"cMS"	1	0.3317	0	0.00765814437098855	0.000148570982034038	6731
"20"	23	23	"Borgerhoff Mulder 2009"	2009	"Homo_sapiens"	"Mammalia"	11	0.0124	"monogamous"	"Field"	"cMS"	1	0.196	0	0.051883292593815	0.00650080715095372	154
"21"	24	24	"Croshaw 2010"	2010	"Ambystoma_opacum"	"Amphibia"	56	0.294117647058824	"monogamous"	"Lab"	"gMS"	0	11.3	0	0.158333944190778	0.0432040550444349	23
"22"	25	24	"Croshaw 2010"	2010	"Ambystoma_opacum"	"Amphibia"	57	0.294117647058824	"monogamous"	"Lab"	"gMS"	0	15.15	0	0.237915475715443	0.044499822000712	21
"23"	26	27	"Schlicht & Kempenears 2013"	2013	"Cyanistes_caeruleus"	"Aves"	45	0.47	"monogamous"	"Field"	"gMS"	1	-0.01	0	-0.00218618091157158	0.00224213103419033	447
"24"	27	28	"Rodriguez-Munoz et al. 2010"	2010	"Gryllus_campestris"	"Arthropoda"	118	0.808695652173913	"polyandrous"	"Field"	"cMS"	1	0.84	0	0.13263455353011	0.017872696782177	55
"25"	28	29	"Fritzsche & Arnqvist 2013"	2013	"Megabruchidius_tonkineus"	"Arthropoda"	101	0.977272727272727	"polyandrous"	"Lab"	"cMS"	1	0.87248243521638	1	0.754792586172203	0.00377852844144172	50
"26"	29	29	"Fritzsche & Arnqvist 2013"	2013	"Megabruchidius_dorsalis"	"Arthropoda"	102	1	"polyandrous"	"Lab"	"cMS"	1	0.61676281852083	1	0.609999721031019	0.00804609872248365	50
"27"	30	29	"Fritzsche & Arnqvist 2013"	2013	"Callosobruchus_maculatus"	"Arthropoda"	103	1	"polyandrous"	"Lab"	"cMS"	1	0.17117999582497	1	0.230087059815584	0.0183045416172297	50
"28"	31	29	"Fritzsche & Arnqvist 2013"	2013	"Callosobruchus_chinensis"	"Arthropoda"	104	0.68	"polyandrous"	"Lab"	"cMS"	1	0.09555464553758	1	0.194647160209261	0.0188910291834217	50
"29"	32	31	"Anthes et al. 2010"	2010	"Biomphalaria_glabrata"	"Gastropoda"	136	0.653846153846154	"polyandrous"	"Lab"	"cMS"	1	0.22640578664608	1	0.364479188469866	0.025929574390118	30
"30"	34	32	"Ketterson et al. 1997"	1997	"Junco_hyemalis"	"Aves"	34	0.439	"monogamous"	"Field"	"gMS"	1	2.92	0	0.769137792633957	0.00379119681876326	45
"31"	35	36	"Garcia-Navas et al. 2014"	2014	"Cyanistes_caeruleus"	"Aves"	44	0.47	"monogamous"	"Field"	"gMS"	0	1.1168	0	0.345262704333351	0.0121218356296536	65
"32"	36	38	"Gagnon et. al. 2012"	2012	"Gerris_gillettei"	"Arthropoda"	113	0.776119402985075	"polyandrous"	"Field"	"gMS"	1	1.05	1	0.365439973762687	0.00782022797160793	97
"33"	37	39	"Walker et al. 2014"	2014	"Notiomystis_cincta"	"Aves"	46	0.836	"polyandrous"	"Field"	"gMS"	1	0.599527614452988	1	0.42983696536989	0.00738462840340649	91
"34"	39	1001	"Bergeron et al.  2012"	2012	"Tamias_striatus"	"Mammalia"	5	0.65	"polyandrous"	"Field"	"gMS"	1	1	1	0.94126245835291	9.02895631193381e-05	145
"35"	41	1002	"Courtiol et al. 2012"	2012	"Homo_sapiens"	"Mammalia"	13	0.0124	"monogamous"	"Field"	"cMS"	1	0.564907307481126	1	0.368586530641705	0.000447688728957669	1669
"36"	43	1004	"Andrade & Kasumovic 2005"	2005	"Latrodectus_hasseltii"	"Arthropoda"	123	0.666666666666667	"polyandrous"	"Lab"	"cMS"	1	0.4749	1	0.393737070671928	0.00605064569700073	119
"37"	46	1005	"Balenger et al. 2009"	2009	"Sialia_currucoides"	"Aves"	42	0.3415	"monogamous"	"Field"	"gMS"	0	0.0343	1	0.0665649005831273	0.0170889286339891	59
"38"	47	1006	"Barreto & Avise 2010"	2010	"Pycnogonum_stearnsi"	"Arthropoda"	122	0.685714285714286	"polyandrous"	"Field"	"gMS"	1	0.99	1	0.877068344864559	0.000872886535405175	62
"39"	48	1007	"Becher & Magurran 2004"	2004	"Poecilia_reticulata"	"Actinopterygii"	72	0.710280373831776	"polyandrous"	"Lab"	"gMS"	1	0.807071302298174	1	0.704341623318423	0.00259100112362456	99
"40"	50	1008	"Bjork & Pitnick 2006"	2006	"Drosophila_lummei"	"Arthropoda"	109	0.753	"polyandrous"	"Lab"	"cMS"	0	0.5875	1	0.482449986300518	0.00700786075013769	85
"41"	51	1008	"Bjork & Pitnick 2006"	2006	"Drosophila_melanogaster"	"Arthropoda"	111	0.758620689655172	"polyandrous"	"Lab"	"cMS"	0	0.0423	1	0.0787201951069304	0.00710535728742097	140
"42"	52	1008	"Bjork & Pitnick 2006"	2006	"Drosophila_bifurca"	"Arthropoda"	110	0.326	"monogamous"	"Lab"	"cMS"	0	0.23657	1	0.201313923669069	0.00814679530959202	114
"43"	53	1008	"Bjork & Pitnick 2006"	2006	"Drosophila_virilis"	"Arthropoda"	108	0.753	"polyandrous"	"Lab"	"cMS"	0	-0.1588	1	-0.220647374012352	0.022073164087327	42
